Right Bank: 88 Chickens, 85 Wolves, 1 Boat

Left Bank: 14 Chickens, 12 Wolves, 1 Boat
Right Bank: 86 Chickens, 85 Wolves, 0 Boat

Left Bank: 13 Chickens, 11 Wolves, 0 Boat
Right Bank: 87 Chickens, 86 Wolves, 1 Boat

Left Bank: 13 Chickens, 13 Wolves, 1 Boat
Right Bank: 87 Chickens, 84 Wolves, 0 Boat

Left Bank: 13 Chickens, 12 Wolves, 0 Boat
Right Bank: 87 Chickens, 85 Wolves, 1 Boat

Left Bank: 15 Chickens, 12 Wolves, 1 Boat
Right Bank: 85 Chickens, 85 Wolves, 0 Boat

Left Bank: 14 Chickens, 11 Wolves, 0 Boat
Right Bank: 86 Chickens, 86 Wolves, 1 Boat

Left Bank: 14 Chickens, 13 Wolves, 1 Boat
Right Bank: 86 Chickens, 84 Wolves, 0 Boat

Left Bank: 13 Chickens, 13 Wolves, 0 Boat
Right Bank: 87 Chickens, 84 Wolves, 1 Boat

Left Bank: 15 Chickens, 13 Wolves, 1 Boat
Right Bank: 85 Chickens, 84 Wolves, 0 Boat

Left Bank: 14 Chickens, 12 Wolves, 0 Boat
Right Bank: 86 Chickens, 85 Wolves, 1 Boat

Left Bank: 14 Chickens, 14 Wolves, 1 Boat
Right Bank: 86 Chickens, 83 Wolves, 0 Boat

Left Bank: 14 Chickens, 13 Wolves, 0 Boat
Right Bank: 86 Chickens, 84 Wolves, 1 Boat

Left Bank: 16 Chickens, 13 Wolves, 1 Boat
Right Bank: 84 Chickens, 84 Wolves, 0 Boat

Left Bank: 15 Chickens, 12 Wolves, 0 Boat
Right Bank: 85 Chickens, 85 Wolves, 1 Boat

Left Bank: 15 Chickens, 14 Wolves, 1 Boat
Right Bank: 85 Chickens, 83 Wolves, 0 Boat

Left Bank: 14 Chickens, 14 Wolves, 0 Boat
Right Bank: 86 Chickens, 83 Wolves, 1 Boat

Left Bank: 16 Chickens, 14 Wolves, 1 Boat
Right Bank: 84 Chickens, 83 Wolves, 0 Boat

Left Bank: 15 Chickens, 13 Wolves, 0 Boat
Right Bank: 85 Chickens, 84 Wolves, 1 Boat

Left Bank: 15 Chickens, 15 Wolves, 1 Boat
Right Bank: 85 Chickens, 82 Wolves, 0 Boat

Left Bank: 15 Chickens, 14 Wolves, 0 Boat
Right Bank: 85 Chickens, 83 Wolves, 1 Boat

Left Bank: 17 Chickens, 14 Wolves, 1 Boat
Right Bank: 83 Chickens, 83 Wolves, 0 Boat

Left Bank: 16 Chickens, 13 Wolves, 0 Boat
Right Bank: 84 Chickens, 84 Wolves, 1 Boat

Left Bank: 16 Chickens, 15 Wolves, 1 Boat
Right Bank: 84 Chickens, 82 Wolves, 0 Boat

Left Bank: 15 Chickens, 15 Wolves, 0 Boat
Right Bank: 85 Chickens, 82 Wolves, 1 Boat

Left Bank: 17 Chickens, 15 Wolves, 1 Boat
Right Bank: 83 Chickens, 82 Wolves, 0 Boat

Left Bank: 16 Chickens, 14 Wolves, 0 Boat
Right Bank: 84 Chickens, 83 Wolves, 1 Boat

Left Bank: 16 Chickens, 16 Wolves, 1 Boat
Right Bank: 84 Chickens, 81 Wolves, 0 Boat

Left Bank: 16 Chickens, 15 Wolves, 0 Boat
Right Bank: 84 Chickens, 82 Wolves, 1 Boat

Left Bank: 18 Chickens, 15 Wolves, 1 Boat
Right Bank: 82 Chickens, 82 Wolves, 0 Boat

Left Bank: 17 Chickens, 14 Wolves, 0 Boat
Right Bank: 83 Chickens, 83 Wolves, 1 Boat

Left Bank: 17 Chickens, 16 Wolves, 1 Boat
Right Bank: 83 Chickens, 81 Wolves, 0 Boat

Left Bank: 16 Chickens, 16 Wolves, 0 Boat
Right Bank: 84 Chickens, 81 Wolves, 1 Boat

Left Bank: 18 Chickens, 16 Wolves, 1 Boat
Right Bank: 82 Chickens, 81 Wolves, 0 Boat

Left Bank: 17 Chickens, 15 Wolves, 0 Boat
Right Bank: 83 Chickens, 82 Wolves, 1 Boat

Left Bank: 17 Chickens, 17 Wolves, 1 Boat
Right Bank: 83 Chickens, 80 Wolves, 0 Boat

Left Bank: 17 Chickens, 16 Wolves, 0 Boat
Right Bank: 83 Chickens, 81 Wolves, 1 Boat

Left Bank: 19 Chickens, 16 Wolves, 1 Boat
Right Bank: 81 Chickens, 81 Wolves, 0 Boat

Left Bank: 18 Chickens, 15 Wolves, 0 Boat
Right Bank: 82 Chickens, 82 Wolves, 1 Boat

Left Bank: 18 Chickens, 17 Wolves, 1 Boat
Right Bank: 82 Chickens, 80 Wolves, 0 Boat

Left Bank: 17 Chickens, 17 Wolves, 0 Boat
Right Bank: 83 Chickens, 80 Wolves, 1 Boat

Left Bank: 19 Chickens, 17 Wolves, 1 Boat
Right Bank: 81 Chickens, 80 Wolves, 0 Boat

Left Bank: 18 Chickens, 16 Wolves, 0 Boat
Right Bank: 82 Chickens, 81 Wolves, 1 Boat

Left Bank: 18 Chickens, 18 Wolves, 1 Boat
Right Bank: 82 Chickens, 79 Wolves, 0 Boat

Left Bank: 18 Chickens, 17 Wolves, 0 Boat
Right Bank: 82 Chickens, 80 Wolves, 1 Boat

Left Bank: 20 Chickens, 17 Wolves, 1 Boat
Right Bank: 80 Chickens, 80 Wolves, 0 Boat

Left Bank: 19 Chickens, 16 Wolves, 0 Boat
Right Bank: 81 Chickens, 81 Wolves, 1 Boat

Left Bank: 19 Chickens, 18 Wolves, 1 Boat
Right Bank: 81 Chickens, 79 Wolves, 0 Boat

Left Bank: 18 Chickens, 18 Wolves, 0 Boat
Right Bank: 82 Chickens, 79 Wolves, 1 Boat

Left Bank: 20 Chickens, 18 Wolves, 1 Boat
Right Bank: 80 Chickens, 79 Wolves, 0 Boat

Left Bank: 19 Chickens, 17 Wolves, 0 Boat
Right Bank: 81 Chickens, 80 Wolves, 1 Boat

Left Bank: 19 Chickens, 19 Wolves, 1 Boat
Right Bank: 81 Chickens, 78 Wolves, 0 Boat

Left Bank: 19 Chickens, 18 Wolves, 0 Boat
Right Bank: 81 Chickens, 79 Wolves, 1 Boat

Left Bank: 21 Chickens, 18 Wolves, 1 Boat
Right Bank: 79 Chickens, 79 Wolves, 0 Boat

Left Bank: 20 Chickens, 17 Wolves, 0 Boat
Right Bank: 80 Chickens, 80 Wolves, 1 Boat

Left Bank: 20 Chickens, 19 Wolves, 1 Boat
Right Bank: 80 Chickens, 78 Wolves, 0 Boat

Left Bank: 19 Chickens, 19 Wolves, 0 Boat
Right Bank: 81 Chickens, 78 Wolves, 1 Boat

Left Bank: 21 Chickens, 19 Wolves, 1 Boat
Right Bank: 79 Chickens, 78 Wolves, 0 Boat

Left Bank: 20 Chickens, 18 Wolves, 0 Boat
Right Bank: 80 Chickens, 79 Wolves, 1 Boat

Left Bank: 20 Chickens, 20 Wolves, 1 Boat
Right Bank: 80 Chickens, 77 Wolves, 0 Boat

Left Bank: 20 Chickens, 19 Wolves, 0 Boat
Right Bank: 80 Chickens, 78 Wolves, 1 Boat

Left Bank: 22 Chickens, 19 Wolves, 1 Boat
Right Bank: 78 Chickens, 78 Wolves, 0 Boat

Left Bank: 21 Chickens, 18 Wolves, 0 Boat
Right Bank: 79 Chickens, 79 Wolves, 1 Boat

Left Bank: 21 Chickens, 20 Wolves, 1 Boat
Right Bank: 79 Chickens, 77 Wolves, 0 Boat

Left Bank: 20 Chickens, 20 Wolves, 0 Boat
Right Bank: 80 Chickens, 77 Wolves, 1 Boat

Left Bank: 22 Chickens, 20 Wolves, 1 Boat
Right Bank: 78 Chickens, 77 Wolves, 0 Boat

Left Bank: 21 Chickens, 19 Wolves, 0 Boat
Right Bank: 79 Chickens, 78 Wolves, 1 Boat

Left Bank: 21 Chickens, 21 Wolves, 1 Boat
Right Bank: 79 Chickens, 76 Wolves, 0 Boat

Left Bank: 21 Chickens, 20 Wolves, 0 Boat
Right Bank: 79 Chickens, 77 Wolves, 1 Boat

Left Bank: 23 Chickens, 20 Wolves, 1 Boat
Right Bank: 77 Chickens, 77 Wolves, 0 Boat

Left Bank: 22 Chickens, 19 Wolves, 0 Boat
Right Bank: 78 Chickens, 78 Wolves, 1 Boat

Left Bank: 22 Chickens, 21 Wolves, 1 Boat
Right Bank: 78 Chickens, 76 Wolves, 0 Boat

Left Bank: 21 Chickens, 21 Wolves, 0 Boat
Right Bank: 79 Chickens, 76 Wolves, 1 Boat

Left Bank: 23 Chickens, 21 Wolves, 1 Boat
Right Bank: 77 Chickens, 76 Wolves, 0 Boat

Left Bank: 22 Chickens, 20 Wolves, 0 Boat
Right Bank: 78 Chickens, 77 Wolves, 1 Boat

Left Bank: 22 Chickens, 22 Wolves, 1 Boat
Right Bank: 78 Chickens, 75 Wolves, 0 Boat

Left Bank: 22 Chickens, 21 Wolves, 0 Boat
Right Bank: 78 Chickens, 76 Wolves, 1 Boat

Left Bank: 24 Chickens, 21 Wolves, 1 Boat
Right Bank: 76 Chickens, 76 Wolves, 0 Boat

Left Bank: 23 Chickens, 20 Wolves, 0 Boat
Right Bank: 77 Chickens, 77 Wolves, 1 Boat

Left Bank: 23 Chickens, 22 Wolves, 1 Boat
Right Bank: 77 Chickens, 75 Wolves, 0 Boat

Left Bank: 22 Chickens, 22 Wolves, 0 Boat
Right Bank: 78 Chickens, 75 Wolves, 1 Boat

Left Bank: 24 Chickens, 22 Wolves, 1 Boat
Right Bank: 76 Chickens, 75 Wolves, 0 Boat

Left Bank: 23 Chickens, 21 Wolves, 0 Boat
Right Bank: 77 Chickens, 76 Wolves, 1 Boat

Left Bank: 23 Chickens, 23 Wolves, 1 Boat
Right Bank: 77 Chickens, 74 Wolves, 0 Boat

Left Bank: 23 Chickens, 22 Wolves, 0 Boat
Right Bank: 77 Chickens, 75 Wolves, 1 Boat

Left Bank: 25 Chickens, 22 Wolves, 1 Boat
Right Bank: 75 Chickens, 75 Wolves, 0 Boat

Left Bank: 24 Chickens, 21 Wolves, 0 Boat
Right Bank: 76 Chickens, 76 Wolves, 1 Boat

Left Bank: 24 Chickens, 23 Wolves, 1 Boat
Right Bank: 76 Chickens, 74 Wolves, 0 Boat

Left Bank: 23 Chickens, 23 Wolves, 0 Boat
Right Bank: 77 Chickens, 74 Wolves, 1 Boat

Left Bank: 25 Chickens, 23 Wolves, 1 Boat
Right Bank: 75 Chickens, 74 Wolves, 0 Boat

Left Bank: 24 Chickens, 22 Wolves, 0 Boat
Right Bank: 76 Chickens, 75 Wolves, 1 Boat

Left Bank: 24 Chickens, 24 Wolves, 1 Boat
Right Bank: 76 Chickens, 73 Wolves, 0 Boat

Left Bank: 24 Chickens, 23 Wolves, 0 Boat
Right Bank: 76 Chickens, 74 Wolves, 1 Boat

Left Bank: 26 Chickens, 23 Wolves, 1 Boat
Right Bank: 74 Chickens, 74 Wolves, 0 Boat

Left Bank: 25 Chickens, 22 Wolves, 0 Boat
Right Bank: 75 Chickens, 75 Wolves, 1 Boat

Left Bank: 25 Chickens, 24 Wolves, 1 Boat
Right Bank: 75 Chickens, 73 Wolves, 0 Boat

Left Bank: 24 Chickens, 24 Wolves, 0 Boat
Right Bank: 76 Chickens, 73 Wolves, 1 Boat

Left Bank: 26 Chickens, 24 Wolves, 1 Boat
Right Bank: 74 Chickens, 73 Wolves, 0 Boat

Left Bank: 25 Chickens, 23 Wolves, 0 Boat
Right Bank: 75 Chickens, 74 Wolves, 1 Boat

Left Bank: 25 Chickens, 25 Wolves, 1 Boat
Right Bank: 75 Chickens, 72 Wolves, 0 Boat

Left Bank: 25 Chickens, 24 Wolves, 0 Boat
Right Bank: 75 Chickens, 73 Wolves, 1 Boat

Left Bank: 27 Chickens, 24 Wolves, 1 Boat
Right Bank: 73 Chickens, 73 Wolves, 0 Boat

Left Bank: 26 Chickens, 23 Wolves, 0 Boat
Right Bank: 74 Chickens, 74 Wolves, 1 Boat

Left Bank: 26 Chickens, 25 Wolves, 1 Boat
Right Bank: 74 Chickens, 72 Wolves, 0 Boat

Left Bank: 25 Chickens, 25 Wolves, 0 Boat
Right Bank: 75 Chickens, 72 Wolves, 1 Boat

Left Bank: 27 Chickens, 25 Wolves, 1 Boat
Right Bank: 73 Chickens, 72 Wolves, 0 Boat

Left Bank: 26 Chickens, 24 Wolves, 0 Boat
Right Bank: 74 Chickens, 73 Wolves, 1 Boat

Left Bank: 26 Chickens, 26 Wolves, 1 Boat
Right Bank: 74 Chickens, 71 Wolves, 0 Boat

Left Bank: 26 Chickens, 25 Wolves, 0 Boat
Right Bank: 74 Chickens, 72 Wolves, 1 Boat

Left Bank: 28 Chickens, 25 Wolves, 1 Boat
Right Bank: 72 Chickens, 72 Wolves, 0 Boat

Left Bank: 27 Chickens, 24 Wolves, 0 Boat
Right Bank: 73 Chickens, 73 Wolves, 1 Boat

Left Bank: 27 Chickens, 26 Wolves, 1 Boat
Right Bank: 73 Chickens, 71 Wolves, 0 Boat

Left Bank: 26 Chickens, 26 Wolves, 0 Boat
Right Bank: 74 Chickens, 71 Wolves, 1 Boat

Left Bank: 28 Chickens, 26 Wolves, 1 Boat
Right Bank: 72 Chickens, 71 Wolves, 0 Boat

Left Bank: 27 Chickens, 25 Wolves, 0 Boat
Right Bank: 73 Chickens, 72 Wolves, 1 Boat

Left Bank: 27 Chickens, 27 Wolves, 1 Boat
Right Bank: 73 Chickens, 70 Wolves, 0 Boat

Left Bank: 27 Chickens, 26 Wolves, 0 Boat
Right Bank: 73 Chickens, 71 Wolves, 1 Boat

Left Bank: 29 Chickens, 26 Wolves, 1 Boat
Right Bank: 71 Chickens, 71 Wolves, 0 Boat

Left Bank: 28 Chickens, 25 Wolves, 0 Boat
Right Bank: 72 Chickens, 72 Wolves, 1 Boat

Left Bank: 28 Chickens, 27 Wolves, 1 Boat
Right Bank: 72 Chickens, 70 Wolves, 0 Boat

Left Bank: 27 Chickens, 27 Wolves, 0 Boat
Right Bank: 73 Chickens, 70 Wolves, 1 Boat

Left Bank: 29 Chickens, 27 Wolves, 1 Boat
Right Bank: 71 Chickens, 70 Wolves, 0 Boat

Left Bank: 28 Chickens, 26 Wolves, 0 Boat
Right Bank: 72 Chickens, 71 Wolves, 1 Boat

Left Bank: 28 Chickens, 28 Wolves, 1 Boat
Right Bank: 72 Chickens, 69 Wolves, 0 Boat

Left Bank: 28 Chickens, 27 Wolves, 0 Boat
Right Bank: 72 Chickens, 70 Wolves, 1 Boat

Left Bank: 30 Chickens, 27 Wolves, 1 Boat
Right Bank: 70 Chickens, 70 Wolves, 0 Boat

Left Bank: 29 Chickens, 26 Wolves, 0 Boat
Right Bank: 71 Chickens, 71 Wolves, 1 Boat

Left Bank: 29 Chickens, 28 Wolves, 1 Boat
Right Bank: 71 Chickens, 69 Wolves, 0 Boat

Left Bank: 28 Chickens, 28 Wolves, 0 Boat
Right Bank: 72 Chickens, 69 Wolves, 1 Boat

Left Bank: 30 Chickens, 28 Wolves, 1 Boat
Right Bank: 70 Chickens, 69 Wolves, 0 Boat

Left Bank: 29 Chickens, 27 Wolves, 0 Boat
Right Bank: 71 Chickens, 70 Wolves, 1 Boat

Left Bank: 29 Chickens, 29 Wolves, 1 Boat
Right Bank: 71 Chickens, 68 Wolves, 0 Boat

Left Bank: 29 Chickens, 28 Wolves, 0 Boat
Right Bank: 71 Chickens, 69 Wolves, 1 Boat

Left Bank: 31 Chickens, 28 Wolves, 1 Boat
Right Bank: 69 Chickens, 69 Wolves, 0 Boat

Left Bank: 30 Chickens, 27 Wolves, 0 Boat
Right Bank: 70 Chickens, 70 Wolves, 1 Boat

Left Bank: 30 Chickens, 29 Wolves, 1 Boat
Right Bank: 70 Chickens, 68 Wolves, 0 Boat

Left Bank: 29 Chickens, 29 Wolves, 0 Boat
Right Bank: 71 Chickens, 68 Wolves, 1 Boat

Left Bank: 31 Chickens, 29 Wolves, 1 Boat
Right Bank: 69 Chickens, 68 Wolves, 0 Boat

